,Judul Berita,Tanggal Berita
0,"Tergiur Kerja di Qatar dengan Gaji Tinggi, 21 TKI Ilegal Diciduk Tim Satgas","10/01/2021, 19:00 WIB"
1,"Link Live Streaming Chelsea Vs Morecambe, Kick-off 20.30 WIB","10/01/2021, 19:00 WIB"
2,Gubernur Sutarmidji: Hampir Semua Penumpang Sriwijaya Air SJ 182 Warga Kalbar,"10/01/2021, 18:57 WIB"
3,"7 Tanaman Herba yang Cocok Ditanam di Pot, Apa Saja?","10/01/2021, 18:56 WIB"
4,"Sinopsis El Gringo, Agen DEA dan Tas Berisi 2 Juta Dolarnya","10/01/2021, 18:53 WIB"
5,"UPDATE Covid-19 di Jabar, Jateng, Banten, Sumsel, Babel, dan Lampung 10 Januari 2021","10/01/2021, 18:52 WIB"
6,Menhub Apresiasi Cepatnya Proses Pencarian Pesawat Sriwijaya SJ 182,"10/01/2021, 18:50 WIB"
7,"Tersesat di Hutan, 8 Pendaki Ditemukan Kedinginan hingga Hipotermia","10/01/2021, 18:47 WIB"
8,Kasus Pengaturan Skor 8 Atlet Bulu Tangkis - PBSI Respons Kritik MPBI ,"10/01/2021, 18:40 WIB"
9,Jepang Pertimbangkan Hukuman bagi Pasien Covid-19 yang Tak Mau Dirawat di RS,"10/01/2021, 18:37 WIB"
10,BCL Ungkap Sikap Dewasa Noah Sinclair Setelah Kepergian Ashraf,"10/01/2021, 18:35 WIB"
11,"Berkat Sinyal Black Box Pesawat, Lokasi Sriwijaya Air SJ 182 Ditemukan","10/01/2021, 18:34 WIB"
12,Pertamina Pastikan Stok LPG 3 Kg di Kabupaten Tasikmalaya Aman,"10/01/2021, 18:34 WIB"
13,[Update 10 Januari]: Ada 70.381 Suspect Covid-19 di Indonesia,"10/01/2021, 18:33 WIB"
14,Resep Ayam Kentucky ala Rumahan yang Renyahnya Tahan Lama,"10/01/2021, 18:33 WIB"
15,[Update 10 Januari]: Ada 70.381 Suspect Covid-19 di Indonesia,"10/01/2021, 18:33 WIB"
16,Resep Ayam Kentucky ala Rumahan yang Renyahnya Tahan Lama,"10/01/2021, 18:33 WIB"
17,"Dijebloskan Anak Kandungnya ke Penjara, Ibu: Saya Memaafkan yang Dia Lakukan","10/01/2021, 18:32 WIB"
18,Courtois Kecewa Laga Real Madrid Tetap Bergulir di Tengah Badai Salju,"10/01/2021, 18:30 WIB"
19,Sebanyak 106 Jemaah Umrah Perdana 2021 Tiba di Jeddah,"10/01/2021, 18:29 WIB"
