,Nama Produk,Harga,Link Pembelian
0,Flashdisk SanDisk Ultra USB 3.1 Type C 64GB Upto 150MBps For Android or iPhone,Rp240.000,https://www.bukalapak.com/p/komputer/aksesoris-226/flashdisk/3twzd5o-jual-flashdisk-sandisk-ultra-usb-3-1-type-c-64gb-upto-150mbps-for-android-or-iphone?from=list-product&pos=0
1,Kabel Charger USB Type C ke Lightning for iPhone iPad,Rp240.000,https://www.bukalapak.com/p/rumah-tangga/home-stuff/3s9o1vf-jual-kabel-charger-usb-type-c-ke-lightning-for-iphone-ipad?from=list-product&pos=1
2,Kabel Iphone 11 Pro 11 Pro Max Cable USB type C to Lightning Original,Rp240.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/kabel-data/3hrfjxq-jual-kabel-iphone-11-pro-11-pro-max-cable-usb-type-c-to-lightning-original?from=list-product&pos=2
3,Apple Adapter Lightning to 3.5mm AUX Female for iPhone 7 8 X Original,Rp240.000,https://www.bukalapak.com/p/rumah-tangga/home-stuff/3s9pfyw-jual-apple-adapter-lightning-to-3-5mm-aux-female-for-iphone-7-8-x-original?from=list-product&pos=3
4,Dual Connector Iphone 7 and Iphone 8 and Iphone X,Rp240.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/aksesoris-lainnya-2645/fs2c8z-jual-dual-connector-iphone-7-and-iphone-8-and-iphone-x?from=list-product&pos=4
5,iPhone 12 Promax,Rp240.000,https://www.bukalapak.com/p/handphone/hp-smartphone/3z1swt1-jual-iphone-12-promax?from=list-product&pos=5
6,iPhone xr 64gb seken likenew ex-inter fullset appel oriiginalll,Rp240.000,https://www.bukalapak.com/p/handphone/hp-smartphone/43byjci-jual-iphone-xr-64gb-seken-likenew-ex-inter-fullset-appel-oriiginalll?from=list-product&pos=6
7,iPhone X 256 GB - FULLSET - 256GB - APPLE - COD Jakarta,Rp240.000,https://www.bukalapak.com/p/handphone/hp-smartphone/2f1t6gh-jual-iphone-x-256-gb-fullset-256gb-apple-cod-jakarta?from=list-product&pos=7
8,Apple iPhone 12 Pro Max Promax 128GB 256GB 512GB 128 256 512 Tam iBox,Rp240.000,https://www.bukalapak.com/p/handphone/hp-smartphone/44cpjqp-jual-apple-iphone-12-pro-max-promax-128gb-256gb-512gb-128-256-512-tam-ibox?from=list-product&pos=8
9,Iphone XR product red 256gb,Rp240.000,https://www.bukalapak.com/p/handphone/hp-smartphone/43x469t-jual-iphone-xr-product-red-256gb?from=list-product&pos=9
10,"Original 100% lightning kabel charger data Iphone 5 5s, Iphone 6 6s, iphone 7",Rp240.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/kabel-data/7j11rw-jual-original-100-lightning-kabel-charger-data-iphone-5-5s-iphone-6-6s-iphone-7?from=list-product&pos=10
