,Judul Video,Channel Youtube,Views
0,"Sebelum Berangkat, Penumpang Pesawat Sriwijaya Air Unggah Video Perpisahan! | tvOne Minute",tvOneNews,3.4M views
1,Jejak Radar Sriwijaya Air Jakarta-Pontianak Sebelum Hilang Kontak!,detikcom,2.5M views
2,"Detik-detik Penyelaman Kopaska, Puing Pesawat Hancur di Bawah Laut",KOMPASTV,1.6M views
3,Diduga Bagian Tubuh Manusia Ditemukan di Lokasi Jatuhnya Pesawat Sriwijaya Air,Tribunnews.com,2.6M views
4,BAHAYA PESAWAT TUA!! PESAWAT SRIWIJAYA SJ-182 26 TAHUN!!,Vincent Raditya,1.8M views
5,"Serpihan Baru Pesawat Sriwijaya Air SJ-182 Ditemukan, Ada Roda Pesawat hingga Baju Anak-Anak",metrotvnews,1.4M views
6,"EXCLUSIVE! WIJIN CURHAT KE BOY: ""KELUARGA GUE PADA BILANG..."" | #NebengBoyNewGeneration Eps.10",Boy William,1.8M views
7,Pemberkatan | #Felitogether,Felicya Angellista,2.5M views
8,"Pesan Terakhir YouTubers Ganteng, Penumpang Sriwijaya Air SJ 182 yang Jatuh di Kepulauan Seribu",Tribun MedanTV,1.3M views
9,BAPAK BETI SELINGKUH MAK BETI JADI HANTU,Arif muhammad,5.3M views
10,"Sosok Ica, Pramugari yang Diperkosa 11 Orang Sampai Tewas",VIVA.CO.ID,1.9M views
11,"#EPS02 BULUS RAKSASA | BEGINI REAKSI GADING,SANG HEWAN TERGAN4S DIRUMAH JOGLO",deHakims,1.9M views
12,UNTOLD STORY PERJALANAN CINTA FELICYA & HITO | Ft. FD PHOTOGRAPHY,Felicya Angellista,1M views
13,Keterangan Saksi Insiden Jatuhnya Pesawat Sriwijaya Air SJ 182 di Pulau Laki - iNews Malam 09/01,Official iNews,361K views
14,"Tragis, Chacha Eks Trio Macan Meninggal Karena Kecelakaan Maut | Intens Investigasi | Eps 542",Intens Investigasi,2.2M views
